"filename", "language", "XML", "C#", "Markdown", "JSON", "Properties", "comment", "blank", "total"
"/workspaces/project1/Pokemongame/1. Pokemons/IBattlePokemon.cs", "C#", 0, 33, 0, 0, 0, 0, 7, 40
"/workspaces/project1/Pokemongame/1. Pokemons/PokemonChart.cs", "C#", 0, 96, 0, 0, 0, 11, 17, 124
"/workspaces/project1/Pokemongame/1. Pokemons/PokemonData.cs", "C#", 0, 24, 0, 0, 0, 0, 4, 28
"/workspaces/project1/Pokemongame/1. Pokemons/PokemonDatabase.cs", "C#", 0, 45, 0, 0, 0, 0, 10, 55
"/workspaces/project1/Pokemongame/1. Pokemons/PokemonFactory.cs", "C#", 0, 13, 0, 0, 0, 12, 3, 28
"/workspaces/project1/Pokemongame/1. Pokemons/PokemonLog.cs", "C#", 0, 16, 0, 0, 0, 1, 1, 18
"/workspaces/project1/Pokemongame/1. Pokemons/PokemonRuntime.cs", "C#", 0, 108, 0, 0, 0, 1, 32, 141
"/workspaces/project1/Pokemongame/1. Pokemons/PokemonState.cs", "C#", 0, 13, 0, 0, 0, 0, 0, 13
"/workspaces/project1/Pokemongame/1. Pokemons/PokemonType.cs", "C#", 0, 15, 0, 0, 0, 0, 0, 15
"/workspaces/project1/Pokemongame/2. Moves/MoveData.cs", "C#", 0, 27, 0, 0, 0, 1, 3, 31
"/workspaces/project1/Pokemongame/2. Moves/MoveDatabase.cs", "C#", 0, 54, 0, 0, 0, 1, 17, 72
"/workspaces/project1/Pokemongame/2. Moves/MoveLearningService.cs", "C#", 0, 32, 0, 0, 0, 6, 7, 45
"/workspaces/project1/Pokemongame/2. Moves/MoveLog.cs", "C#", 0, 28, 0, 0, 0, 1, 6, 35
"/workspaces/project1/Pokemongame/2. Moves/MoveRuntime.cs", "C#", 0, 32, 0, 0, 0, 2, 8, 42
"/workspaces/project1/Pokemongame/3. Trainers/IBattleTrainer.cs", "C#", 0, 17, 0, 0, 0, 0, 5, 22
"/workspaces/project1/Pokemongame/3. Trainers/TrainerLog.cs", "C#", 0, 3, 0, 0, 0, 0, 1, 4
"/workspaces/project1/Pokemongame/3. Trainers/TrainerRuntime(Enemy).cs", "C#", 0, 7, 0, 0, 0, 1, 1, 9
"/workspaces/project1/Pokemongame/3. Trainers/TrainerRuntime(Player).cs", "C#", 0, 24, 0, 0, 0, 0, 2, 26
"/workspaces/project1/Pokemongame/3. Trainers/TrainerRuntime.cs", "C#", 0, 80, 0, 0, 0, 1, 21, 102
"/workspaces/project1/Pokemongame/3. Trainers/WildRuntime.cs", "C#", 0, 21, 0, 0, 0, 0, 5, 26
"/workspaces/project1/Pokemongame/4. Items/ItemData.cs", "C#", 0, 17, 0, 0, 0, 0, 2, 19
"/workspaces/project1/Pokemongame/4. Items/ItemDatabase.cs", "C#", 0, 38, 0, 0, 0, 0, 8, 46
"/workspaces/project1/Pokemongame/4. Items/ItemEffect.cs", "C#", 0, 74, 0, 0, 0, 2, 13, 89
"/workspaces/project1/Pokemongame/5. Battle/BattleLog.cs", "C#", 0, 85, 0, 0, 0, 0, 14, 99
"/workspaces/project1/Pokemongame/5. Battle/BattleParticipant.cs", "C#", 0, 31, 0, 0, 0, 0, 7, 38
"/workspaces/project1/Pokemongame/5. Battle/BattleSystem.cs", "C#", 0, 20, 0, 0, 0, 0, 15, 35
"/workspaces/project1/Pokemongame/5. Battle/Calculator.cs", "C#", 0, 38, 0, 0, 0, 18, 11, 67
"/workspaces/project1/Pokemongame/5. Battle/Command.cs", "C#", 0, 115, 0, 0, 0, 4, 27, 146
"/workspaces/project1/Pokemongame/6. BattleCotroller/BattleView.cs", "C#", 0, 76, 0, 0, 0, 0, 20, 96
"/workspaces/project1/Pokemongame/6. BattleCotroller/IBattelController.cs", "C#", 0, 6, 0, 0, 0, 0, 1, 7
"/workspaces/project1/Pokemongame/6. BattleCotroller/PlayerController.cs", "C#", 0, 280, 0, 0, 0, 5, 65, 350
"/workspaces/project1/Pokemongame/9. Input/Chance.cs", "C#", 0, 18, 0, 0, 0, 4, 3, 25
"/workspaces/project1/Pokemongame/9. Input/InputManager.cs", "C#", 0, 43, 0, 0, 0, 1, 6, 50
"/workspaces/project1/Pokemongame/9. Input/Log.cs", "C#", 0, 9, 0, 0, 0, 0, 0, 9
"/workspaces/project1/Pokemongame/JsonData/ItemData.json", "JSON", 0, 0, 0, 44, 0, 0, 0, 44
"/workspaces/project1/Pokemongame/JsonData/MoveData.json", "JSON", 0, 0, 0, 74, 0, 0, 0, 74
"/workspaces/project1/Pokemongame/JsonData/PokemonData.json", "JSON", 0, 0, 0, 54, 0, 0, 0, 54
"/workspaces/project1/Pokemongame/Pokemongame.csproj", "XML", 8, 0, 0, 0, 0, 0, 3, 11
"/workspaces/project1/Pokemongame/Program.cs", "C#", 0, 9, 0, 0, 0, 0, 1, 10
"/workspaces/project1/Pokemongame/obj/Debug/net10.0/.NETCoreApp,Version=v10.0.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 0, 1, 1, 5
"/workspaces/project1/Pokemongame/obj/Debug/net10.0/Pokemongame.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 0, 9, 5, 23
"/workspaces/project1/Pokemongame/obj/Debug/net10.0/Pokemongame.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 17, 0, 1, 18
"/workspaces/project1/Pokemongame/obj/Debug/net10.0/Pokemongame.GlobalUsings.g.cs", "C#", 0, 7, 0, 0, 0, 1, 1, 9
"/workspaces/project1/Pokemongame/obj/Pokemongame.csproj.nuget.dgspec.json", "JSON", 0, 0, 0, 341, 0, 0, 0, 341
"/workspaces/project1/Pokemongame/obj/Pokemongame.csproj.nuget.g.props", "XML", 15, 0, 0, 0, 0, 0, 0, 15
"/workspaces/project1/Pokemongame/obj/Pokemongame.csproj.nuget.g.targets", "XML", 2, 0, 0, 0, 0, 0, 0, 2
"/workspaces/project1/Pokemongame/obj/project.assets.json", "JSON", 0, 0, 0, 346, 0, 0, 0, 346
"/workspaces/project1/README.md", "Markdown", 0, 0, 2, 0, 0, 0, 1, 3
"Total", "-", 25, 1566, 2, 859, 17, 83, 355, 2907
