"filename", "language", "C#", "comment", "blank", "total"
"/workspaces/project1/Pokemongame/1. Pokemons/IBattlePokemon.cs", "C#", -33, 0, -7, -40
"/workspaces/project1/Pokemongame/1. Pokemons/PokemonChart.cs", "C#", -96, -11, -17, -124
"/workspaces/project1/Pokemongame/1. Pokemons/PokemonData.cs", "C#", -24, 0, -4, -28
"/workspaces/project1/Pokemongame/1. Pokemons/PokemonDatabase.cs", "C#", -45, 0, -10, -55
"/workspaces/project1/Pokemongame/1. Pokemons/PokemonFactory.cs", "C#", -13, -12, -3, -28
"/workspaces/project1/Pokemongame/1. Pokemons/PokemonLog.cs", "C#", -16, -1, -1, -18
"/workspaces/project1/Pokemongame/1. Pokemons/PokemonRuntime.cs", "C#", -108, -1, -32, -141
"/workspaces/project1/Pokemongame/1. Pokemons/PokemonState.cs", "C#", -13, 0, 0, -13
"/workspaces/project1/Pokemongame/1. Pokemons/PokemonType.cs", "C#", -15, 0, 0, -15
"/workspaces/project1/Pokemongame/2. Moves/MoveData.cs", "C#", -27, -1, -3, -31
"/workspaces/project1/Pokemongame/2. Moves/MoveDatabase.cs", "C#", -54, -1, -17, -72
"/workspaces/project1/Pokemongame/2. Moves/MoveLearningService.cs", "C#", -32, -6, -7, -45
"/workspaces/project1/Pokemongame/2. Moves/MoveLog.cs", "C#", -28, -1, -6, -35
"/workspaces/project1/Pokemongame/2. Moves/MoveRuntime.cs", "C#", -32, -2, -8, -42
"/workspaces/project1/Pokemongame/3. Trainers/IBattleTrainer.cs", "C#", -17, 0, -5, -22
"/workspaces/project1/Pokemongame/3. Trainers/TrainerLog.cs", "C#", -3, 0, -1, -4
"/workspaces/project1/Pokemongame/3. Trainers/TrainerRuntime(Enemy).cs", "C#", -7, -1, -1, -9
"/workspaces/project1/Pokemongame/3. Trainers/TrainerRuntime(Player).cs", "C#", -24, 0, -2, -26
"/workspaces/project1/Pokemongame/3. Trainers/TrainerRuntime.cs", "C#", -80, -1, -21, -102
"/workspaces/project1/Pokemongame/3. Trainers/WildRuntime.cs", "C#", -21, 0, -5, -26
"/workspaces/project1/Pokemongame/4. Items/ItemData.cs", "C#", -17, 0, -2, -19
"/workspaces/project1/Pokemongame/4. Items/ItemDatabase.cs", "C#", -38, 0, -8, -46
"/workspaces/project1/Pokemongame/4. Items/ItemEffect.cs", "C#", -74, -2, -13, -89
"/workspaces/project1/Pokemongame/5. Battle/BattleLog.cs", "C#", -85, 0, -14, -99
